,id,UID,scenarioIDX,STime,ETime,text,gif,Q1,Q3,Q4,Q5,Q6
2613,3195,62eec1ce0ae04f6129df1e94,6,2022-08-27 11:18:45,2022-08-27 11:19:41.412,Always releasing banger albums,https://media1.giphy.com/media/Um79V2KjSctXy/giphy.gif?cid=0e802152c2ml0oqo1s35vpxmi8w3co3dgntz19tplyjyqgwg&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2614,3479,5eecf88a4e531e0e897631df,10,2022-09-06 08:40:47,2022-09-06 08:41:09.327,Why the fuck is *person*'s new single good???????,https://media4.giphy.com/media/JIZNoSSQ8on6PY6AYZ/giphy-downsized.gif?cid=0e802152t2e8l4c5caahg0npn9w1bwx56qi2m3y2982kg34i&rid=giphy-downsized.gif&ct=g,0.0,0.0,1.0,1.0,1.0
2615,3480,5eecf88a4e531e0e897631df,3,2022-09-06 08:42:02,2022-09-06 08:42:13.353,Actually went to the gym today!,https://media1.giphy.com/media/26BGP98lm74FJgfNS/giphy-downsized.gif?cid=0e802152nh0q16axtomdpjrepd3sv2v5emk7nrcl2bpmhoyl&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2616,3481,5eecf88a4e531e0e897631df,8,2022-09-06 08:43:10,2022-09-06 08:43:22.777,"If I don't see at least one of you @ *party* tonight, you're getting BLOCKED",https://media1.giphy.com/media/3o9bJX4O9ShW1L32eY/giphy.gif?cid=0e80215277wxoru82ipjgg8vzmcjdo6h7z3k8qjndylrbjn9&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2617,3483,5eecf88a4e531e0e897631df,5,2022-09-06 08:45:38,2022-09-06 08:45:47.677,Shoutout to the team! We all did a phenomenal job!,https://media0.giphy.com/media/l46CvRFB1GqPYAOis/giphy-downsized.gif?cid=0e802152nh0q16axtomdpjrepd3sv2v5emk7nrcl2bpmhoyl&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2618,3484,5eecf88a4e531e0e897631df,1,2022-09-06 08:46:52,2022-09-06 08:47:02.516,FUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUUCK,https://media1.giphy.com/media/BWFAvXgGZOj96/giphy-downsized.gif?cid=0e802152de3b6u5cph8btuws6k8umjfki9icd008my0p8dng&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2619,3485,5eecf88a4e531e0e897631df,7,2022-09-06 08:47:48,2022-09-06 08:47:59.64,Not me forgetting to stretch when I got home from the gym...,https://media1.giphy.com/media/1lAOemoi0KhPMzxczT/giphy-downsized.gif?cid=0e802152gp7nmir25tw9rg2447a36n43y3efuiphw8ebsrxr&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2620,2372,58c1ce3c3783090001b49355,1,2022-08-22 18:48:19,2022-08-22 18:48:31.036,Today was a terrible day at work.  I couldn't wait to get out of there!,https://media1.giphy.com/media/HhQyBqmktGu08/giphy-downsized.gif?cid=0e802152tiwqgnunn2cs1xn86i6nui4cml9xsng4qpo6h9c9&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,2.0,4.0
2621,2373,58c1ce3c3783090001b49355,5,2022-08-22 18:49:42,2022-08-22 18:49:56.056,My work team did a tremendous job today!  I appreciate all their hard work and effort!,https://media1.giphy.com/media/dkGhBWE3SyzXW/giphy.gif?cid=0e802152ij3g8neet1e0aqu70esr0yrsqgyrik00lpldojqx&rid=giphy.gif&ct=g,0.0,0.0,1.0,2.0,1.0
2622,3198,620bdf54a922fc3f247f70da,10,2022-08-27 15:50:20,2022-08-27 15:50:35.086,I am absolutely shocked at how good this new song is. Never thought I would be enjoying it this much ,https://media0.giphy.com/media/DyvyiFFXF1Yli/giphy-downsized.gif?cid=0e802152edmhwhhhgdg3l1pperv53vgzrpcizljx4muttp50&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2623,2374,58c1ce3c3783090001b49355,4,2022-08-22 18:50:28,2022-08-22 18:50:42.272,I found some free cookies today at work in the breakroom.  ,https://media4.giphy.com/media/HGe4zsOVo7Jvy/giphy-downsized.gif?cid=0e802152tmpd0t8syegtjr477v5i32uvkmigs3k1tp9czucj&rid=giphy-downsized.gif&ct=g,1.0,1.0,1.0,1.0,1.0
2624,2978,5a6b6f06e6cc4a0001b6a38d,8,2022-08-24 21:50:17,2022-08-24 21:50:30.549,Pull up to the function it's up,https://media0.giphy.com/media/KzDqC8LvVC4lshCcGK/giphy.gif?cid=0e802152p38vom3s8lpqgc3e8fyn3rigqgp0r4t698tfe7kc&rid=giphy.gif&ct=g,0.0,0.0,0.0,2.0,5.0
2625,2375,58c1ce3c3783090001b49355,7,2022-08-22 18:51:17,2022-08-22 18:51:26.453,If only I were as good at finishing my workout as I was about being lazy.  ,https://media2.giphy.com/media/YVm9sOmwsdLe8/giphy.gif?cid=0e802152mqb44c9tri1araij58h6tdxdxp259ecf77anjxh7&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,1.0
2626,2376,58c1ce3c3783090001b49355,8,2022-08-22 18:52:13,2022-08-22 18:52:23.078,Anyone who is not at this amazing party needs to head over here ASAP!,https://media3.giphy.com/media/l0MYt5jPR6QX5pnqM/giphy-downsized.gif?cid=0e802152cxv76rfp8c8jlxowo1q4fs97h1dpnh71lsa7rd7f&rid=giphy-downsized.gif&ct=g,1.0,0.0,1.0,2.0,1.0
2627,2984,5a6b6f06e6cc4a0001b6a38d,4,2022-08-24 21:55:40,2022-08-24 21:55:49.667,Free food is always a win,https://media3.giphy.com/media/3o7buiQeyYFamzRoR2/giphy.gif?cid=0e802152wmqvs3179oxo6pm853ryvecjyovh2uxjruihhi0d&rid=giphy.gif&ct=g,0.0,0.0,0.0,1.0,2.0
2628,2377,58c1ce3c3783090001b49355,2,2022-08-22 18:53:10,2022-08-22 18:53:19.375,I'm about to head out of here and do something super exciting with my life.......,https://media0.giphy.com/media/Fo1cy8mqGDvbjpJBB7/giphy.gif?cid=0e802152ggequzmqncixp81gs0bxk2ecjs3z21p6ijvutz61&rid=giphy.gif&ct=g,1.0,0.0,0.0,2.0,2.0
2629,2979,5a6b6f06e6cc4a0001b6a38d,1,2022-08-24 21:51:30,2022-08-24 21:51:40.325,Work was ...,https://media3.giphy.com/media/RBeddeaQ5Xo0E/giphy.gif?cid=0e8021529g1mtw5hn9it5797yw7i2uiqr8bgqx8qkiagtnpe&rid=giphy.gif&ct=g,1.0,0.0,1.0,1.0,1.0
2630,2378,58c1ce3c3783090001b49355,10,2022-08-22 18:54:17,2022-08-22 18:54:28.952,I was really surprised to find out how much I really enjoy the new single.  I take back anything bad that I have ever said about them.  ,https://media3.giphy.com/media/3ohhwkcw1PNRAHE316/giphy-downsized.gif?cid=0e80215266jeato69wr02zdhpkek1sefbab92x1tg8kz8hi4&rid=giphy-downsized.gif&ct=g,1.0,1.0,1.0,2.0,1.0
2631,2379,58c1ce3c3783090001b49355,6,2022-08-22 18:55:17,2022-08-22 18:55:29.731,This new album from my favorite band is AMAZING!  Everyone should check it out and see for yourself how great it is.  ,https://media4.giphy.com/media/bSsdpAvzccWys/giphy.gif?cid=0e802152c69emfequcc09l4ej3ruokdekodn6hl51dtm0ouu&rid=giphy.gif&ct=g,0.0,0.0,0.0,4.0,5.0
2632,2380,58c1ce3c3783090001b49355,9,2022-08-22 18:56:04,2022-08-22 18:56:15.034,The news has been so disappointing and upsetting today.  I really think that I am still in shock.  ,https://media3.giphy.com/media/lQflFFbERFloXv6GZu/giphy.gif?cid=0e80215294ho4xhstdz2zhyuu6u2m7f35sow2fp0g9w882rq&rid=giphy.gif&ct=g,1.0,0.0,1.0,4.0,4.0
2633,2980,5a6b6f06e6cc4a0001b6a38d,5,2022-08-24 21:52:13,2022-08-24 21:52:28.502,THANK YOU TO MY ENTIRE TEAM FOR THE GREAT WORK ON THIS EVENT,https://media1.giphy.com/media/26BRv0ThflsHCqDrG/giphy.gif?cid=0e802152pe7yobgzwcyqokit5271dq4prdmuut1279y5suze&rid=giphy.gif&ct=g,0.0,0.0,0.0,2.0,3.0
2634,2381,58c1ce3c3783090001b49355,3,2022-08-22 18:56:44,2022-08-22 18:56:54.064,I've been killing it at the gym lately.  I'm kinda proud of myself for a change.  ,https://media3.giphy.com/media/EgkNhBeY289z2/giphy.gif?cid=0e802152f4tt14blrw6x5gwxfq0vchq2pkzoi4y38bddnxf2&rid=giphy.gif&ct=g,0.0,1.0,1.0,2.0,1.0
2636,2981,5a6b6f06e6cc4a0001b6a38d,3,2022-08-24 21:53:00,2022-08-24 21:53:08.582,Gym gains keep going,https://media1.giphy.com/media/TTPi3fB9F5Aqs/giphy.gif?cid=0e802152xsx4p4crjv49kqmieyf3hhua6dcxz5muzvfla0k7&rid=giphy.gif&ct=g,0.0,0.0,0.0,3.0,3.0
2637,2985,5a6b6f06e6cc4a0001b6a38d,9,2022-08-24 21:56:59,2022-08-24 21:57:09.565,Wow can't believe they allowed that to happen to the people ,https://media2.giphy.com/media/BcMJvmwkmbyWpKkBj3/giphy-downsized.gif?cid=0e802152vghcrrdhc87shviirtpk80n604t2qasyjo1wzm4v&rid=giphy-downsized.gif&ct=g,0.0,0.0,0.0,3.0,3.0
2638,2982,5a6b6f06e6cc4a0001b6a38d,10,2022-08-24 21:53:59,2022-08-24 21:54:11.327,Rosalia new single is wild,https://media2.giphy.com/media/tqfS3mgQU28ko/giphy.gif?cid=0e8021520vkraeto9mkkc8httj1dfq5kzu9r4w54jedte7s6&rid=giphy.gif&ct=g,1.0,0.0,1.0,1.0,1.0
2639,2983,5a6b6f06e6cc4a0001b6a38d,2,2022-08-24 21:55:05,2022-08-24 21:55:17.51,Can't wait to start this new journey,https://media2.giphy.com/media/xT5LMHxhOfscxPfIfm/giphy.gif?cid=0e8021526m5j39lj4mbau0dsch6l0dp9uuqfwixdz9mb4119&rid=giphy.gif&ct=g,1.0,0.0,0.0,2.0,4.0
2640,3200,620bdf54a922fc3f247f70da,1,2022-08-27 15:54:21,2022-08-27 15:54:44.08,Today was just uggggh,https://media2.giphy.com/media/wqbAfFwjU8laXMWZ09/giphy-downsized.gif?cid=0e802152cbxe1ucf9xosu97a7xhgzsfkpwgi5d3g3l5zu5k6&rid=giphy-downsized.gif&ct=g,1.0,1.0,1.0,1.0,1.0
2641,3197,620bdf54a922fc3f247f70da,2,2022-08-27 15:48:56,2022-08-27 15:49:18.754,Excited to get started on a new adventure! Can't wait to see where this takes me,https://media1.giphy.com/media/MVDPX3gaKFPuo/giphy.gif?cid=0e802152k838c931bvg44gyhon9sa242tmrp7ssck72e65zk&rid=giphy.gif&ct=g,1.0,1.0,1.0,1.0,1.0
2642,3199,620bdf54a922fc3f247f70da,6,2022-08-27 15:53:07,2022-08-27 15:53:24.413,Drop everything and go listen to this new album. That's where you will find me for the rest of the month lol,https://media3.giphy.com/media/tbapfDZ4mZJn2/giphy.gif?cid=0e802152wbzi1lp3zaofaniqge8xiuu43fxc00wnkbr11p39&rid=giphy.gif&ct=g,1.0,1.0,1.0,1.0,1.0
